YYYY ,MM ,DD ,SST_MIN ,SST_MAX ,SST@90th_HS ,SSTA@90th_HS ,90th_HS>0 ,DHW_from_90th_HS>1 ,BAA_7day_max
1985,10,29,25.5600,27.8400,27.0200,0.3716,0.0000,0.0000,0
1985,10,30,25.6200,27.8400,27.4900,-0.0603,0.0000,0.0000,0
1985,10,31,25.7200,27.9800,27.5100,-0.0894,0.0000,0.0000,0
1985,11,1,25.7200,27.9200,27.3700,-0.3061,0.0000,0.0000,0
1985,11,2,25.6000,27.9100,27.4600,-0.3035,0.0000,0.0000,0
1985,11,3,25.8000,28.0300,27.6400,-0.1455,0.0000,0.0000,0
1985,11,4,26.0100,28.1000,27.8200,-0.0177,0.0000,0.0000,0
1985,11,5,26.2800,28.4700,28.2200,0.1577,0.0000,0.0000,0
1985,11,6,26.3300,28.3100,27.9700,0.0639,0.0000,0.0000,0
1985,11,7,26.4200,28.4000,28.1500,0.2197,0.0000,0.0000,0
1985,11,8,26.4600,28.5400,28.2200,0.2129,0.0000,0.0000,0
1985,11,9,26.5000,28.5200,28.2400,0.1945,0.0000,0.0000,0
1985,11,10,26.5300,28.4700,28.2500,0.1719,0.0000,0.0000,0
1985,11,11,26.6500,28.5200,28.2300,0.0845,0.0000,0.0000,0
1985,11,12,26.7400,28.5900,28.3100,0.1232,0.0000,0.0000,0
1985,11,13,26.9600,28.7400,28.3700,0.3913,0.0000,0.0000,0
1985,11,14,26.7700,28.8500,28.5500,0.2684,0.0000,0.0000,0
1985,11,15,26.2100,28.5700,28.3300,-0.0200,0.0000,0.0000,0
1985,11,16,27.2200,29.1100,28.8700,0.3723,0.0000,0.0000,0
1985,11,17,26.8900,28.8200,28.5100,0.0927,0.0000,0.0000,0
1985,11,18,26.8900,28.6900,27.6800,0.3210,0.0000,0.0000,0
1985,11,19,27.1300,29.2000,28.9400,0.4040,0.0000,0.0000,0
1985,11,20,27.3300,29.9500,29.5600,0.9600,0.2600,0.0000,1
1985,11,21,27.4500,30.1100,29.9300,1.3100,0.5500,0.0000,1
1985,11,22,27.2400,30.0300,29.7300,1.0503,0.4200,0.0000,1
1985,11,23,27.5900,30.0700,29.6800,1.1160,0.4500,0.0000,1
1985,11,24,28.1600,30.5400,30.1600,1.4760,0.9300,0.0000,1
1985,11,25,28.3100,30.6200,30.3000,1.5467,1.0100,0.1443,2
1985,11,26,28.3600,30.7000,30.3500,1.5757,1.0500,0.2943,2
1985,11,27,28.0100,30.5900,30.2400,1.4780,0.9200,0.2943,2
1985,11,28,28.0400,30.5700,30.1100,1.5387,0.9600,0.2943,2
1985,11,29,27.9200,30.8900,30.3300,1.7287,1.1900,0.4643,2
1985,11,30,27.0200,30.2000,29.9800,1.0900,0.6100,0.4643,2
1985,12,1,27.3500,30.3200,30.0700,1.2440,0.7800,0.4643,2
1985,12,2,27.7300,30.2700,29.9200,1.2613,0.7900,0.4643,2
1985,12,3,27.9300,30.3600,30.1300,1.2520,0.8600,0.4643,2
1985,12,4,27.7500,30.0900,29.5600,1.0950,0.5200,0.4643,2
1985,12,5,27.3300,29.8400,29.3700,0.6033,0.2500,0.4643,2
